1,18
1,22
0,24
1,21
1,21
1,24
1,21
0,21
1,21
0,25
1,18
0,25
0,20
0,24
0,22
0,20
0,21
0,18
0,18
0,20
1,18
1,18
1,22
1,20
1,22
0,24
1,22
0,18
1,22
1,20
0,23
1,21
0,22
1,25
0,23
1,20
1,22
1,25
1,22
0,24
1,22
0,19
0,21
1,21
1,18
0,19
0,20
1,22
1,25
0,23
1,25
0,19
1,24
0,25
1,18
0,23
0,18
1,24
1,24
0,19
0,20
1,21
1,21
0,24
1,18
1,19
1,18
0,19
0,24
0,19
0,23
1,24
0,21
1,20
0,20
1,23
1,24
1,18
0,22
0,25
0,18
0,18
0,18
1,25
1,23
0,19
1,21
0,18
0,25
1,18
1,18
1,21
1,18
0,23
0,23
0,22
1,19
1,20
0,21
1,23
